==============================================================================================================
EVALUATION REPORT: RETRIEVAL AND SORTING MODELS PERFORMANCE VS GROUND TRUTH
==============================================================================================================
Target Job Description: Software Engineering Manager (Fiserv)
Evaluation Dataset: train (1).csv (Fiserv JD subset - 98 CVs)
Generated at: 2026-07-22 10:52:00

This report evaluates how well each of our search/retrieval models sorted the 98 candidates
compared to the original ATS compatibility scores and labels present in the training dataset.

--------------------------------------------------------------------------------------------------------------
SUMMARY TABLE:
--------------------------------------------------------------------------------------------------------------
Model                | Spearman | Pearson | NDCG@10 (Cont) | NDCG@20 (Cont) | NDCG@50 (Cont) | NDCG@All (Cont) | NDCG@10 (Cat) | NDCG@20 (Cat) | NDCG@50 (Cat) | NDCG@All (Cat) | P@10 (Good) | P@20 (Good) | P@50 (Good) | P@All (Good) | P@10 (Good+Pot) | P@20 (Good+Pot) | P@50 (Good+Pot) | P@All (Good+Pot) | MRR (Good)
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TF-IDF               | -0.037   | -0.074  | 0.464          | 0.483          | 0.619          | 0.828           | 0.196         | 0.235         | 0.384         | 0.647          | 0.100       | 0.200       | 0.220       | 0.245        | 0.400           | 0.350           | 0.340           | 0.347            | 0.100     
Embed M2             | -0.212   | -0.186  | 0.361          | 0.413          | 0.526          | 0.795           | 0.102         | 0.163         | 0.247         | 0.597          | 0.100       | 0.150       | 0.140       | 0.245        | 0.100           | 0.250           | 0.240           | 0.347            | 0.250     
Embed M1             | 0.040    | 0.058   | 0.419          | 0.455          | 0.622          | 0.819           | 0.181         | 0.229         | 0.404         | 0.643          | 0.200       | 0.250       | 0.260       | 0.245        | 0.300           | 0.300           | 0.360           | 0.347            | 0.125     
Hybrid M2            | -0.216   | -0.207  | 0.329          | 0.361          | 0.511          | 0.781           | 0.024         | 0.075         | 0.214         | 0.562          | 0.000       | 0.050       | 0.140       | 0.245        | 0.100           | 0.150           | 0.240           | 0.347            | 0.077     
Hybrid M1            | 0.004    | -0.115  | 0.321          | 0.408          | 0.597          | 0.797           | 0.023         | 0.154         | 0.360         | 0.597          | 0.000       | 0.200       | 0.260       | 0.245        | 0.100           | 0.250           | 0.360           | 0.347            | 0.071     
LLM Rubric (Gemma 3) | 0.300    | 0.363   | 0.676          | 0.650          | 0.772          | 0.892           | 0.523         | 0.472         | 0.644         | 0.781          | 0.400       | 0.350       | 0.380       | 0.245        | 0.800           | 0.700           | 0.520           | 0.347            | 0.500     
NBK ATS Semantic     | 0.322    | 0.401   | 0.817          | 0.729          | 0.809          | 0.929           | 0.770         | 0.623         | 0.722         | 0.870          | 0.700       | 0.500       | 0.360       | 0.245        | 0.700           | 0.550           | 0.460           | 0.347            | 1.000     

Note:
  * Spearman: Spearman's rank correlation coefficient. Higher = better rank-sorting agreement.
  * Pearson: Pearson linear correlation coefficient. Higher = better score scaling agreement.
  * NDCG@K (Cont): NDCG using ground truth score directly as continuous relevance.
  * NDCG@K (Cat): NDCG using categorical relevance (Good Fit=3, Potential Fit=1, No Fit=0).
  * P@K (Good): Precision at K: percentage of top-K results that are actually 'Good Fit'.
  * MRR (Good): Mean Reciprocal Rank of the first 'Good Fit' candidate.

--------------------------------------------------------------------------------------------------------------
KEY ANALYSIS & INSIGHTS:
--------------------------------------------------------------------------------------------------------------
1. Best Ranking/Sorting Model: NBK ATS Semantic (Spearman Rank Correlation = 0.322).
2. Best Precision Model:
   - Top 10: NBK ATS Semantic (P@10 Good Fit = 70.0%)
   - Top 50: LLM Rubric (Gemma 3) (P@50 Good Fit = 38.0%)
3. Best Cumulative Gain:
   - Top 10: NBK ATS Semantic (NDCG@10 = 0.817)
   - Top 50: NBK ATS Semantic (NDCG@50 = 0.809)

--------------------------------------------------------------------------------------------------------------
DETAILED RANKINGS BREAKDOWNS (ALL 98 CANDIDATES LISTED):
--------------------------------------------------------------------------------------------------------------
==========================================================================================
COMPLETE SORTED CANDIDATE RANKINGS (1 to 98): TF-IDF
==========================================================================================
Model Rank | Filename   | Model Score | Ground Truth Score | Ground Truth Label
42         | cv_44.docx | 63.39       | 22.30              | No Fit
43         | cv_42.docx | 63.33       | 28.00              | No Fit
44         | cv_82.docx | 63.32       | 82.30              | Good Fit
45         | cv_29.docx | 63.23       | 53.20              | Potential Fit
46         | cv_86.docx | 63.23       | 20.90              | No Fit
47         | cv_83.docx | 63.22       | 59.10              | Potential Fit
48         | cv_64.docx | 63.19       | 29.60              | No Fit
49         | cv_81.docx | 63.18       | 21.50              | No Fit
50         | cv_37.docx | 63.17       | 26.80              | No Fit
51         | cv_1.docx  | 63.15       | 26.90              | No Fit
52         | cv_3.docx  | 63.14       | 23.50              | No Fit
53         | cv_80.docx | 63.08       | 25.60              | No Fit
54         | cv_78.docx | 62.98       | 22.10              | No Fit
55         | cv_87.docx | 62.96       | 89.80              | Good Fit
56         | cv_63.docx | 62.94       | 22.10              | No Fit
57         | cv_52.docx | 62.90       | 84.30              | Good Fit
58         | cv_17.docx | 62.87       | 22.00              | No Fit
59         | cv_25.docx | 62.82       | 87.40              | Good Fit
60         | cv_20.docx | 62.80       | 56.10              | Potential Fit
61         | cv_39.docx | 62.73       | 54.80              | Potential Fit
62         | cv_10.docx | 62.72       | 25.40              | No Fit
63         | cv_85.docx | 62.72       | 82.10              | Good Fit
64         | cv_21.docx | 62.69       | 20.90              | No Fit
65         | cv_55.docx | 62.59       | 21.60              | No Fit
66         | cv_93.docx | 62.51       | 29.90              | No Fit
67         | cv_18.docx | 62.41       | 88.40              | Good Fit
68         | cv_30.docx | 62.41       | 83.00              | Good Fit
69         | cv_23.docx | 62.37       | 26.90              | No Fit
70         | cv_43.docx | 62.31       | 29.20              | No Fit
71         | cv_71.docx | 62.30       | 52.70              | Potential Fit
72         | cv_9.docx  | 62.23       | 85.80              | Good Fit
73         | cv_5.docx  | 62.22       | 88.60              | Good Fit
74         | cv_48.docx | 62.14       | 26.80              | No Fit
75         | cv_11.docx | 61.94       | 26.90              | No Fit
76         | cv_28.docx | 61.69       | 85.00              | Good Fit
77         | cv_69.docx | 61.68       | 83.20              | Good Fit
78         | cv_66.docx | 61.28       | 80.70              | Good Fit
79         | cv_89.docx | 61.26       | 20.50              | No Fit
80         | cv_22.docx | 61.22       | 29.80              | No Fit
81         | cv_76.docx | 61.12       | 28.30              | No Fit
82         | cv_92.docx | 61.06       | 21.60              | No Fit
83         | cv_7.docx  | 60.89       | 22.20              | No Fit
84         | cv_19.docx | 60.85       | 28.60              | No Fit
85         | cv_70.docx | 60.66       | 81.40              | Good Fit
86         | cv_14.docx | 60.20       | 55.60              | Potential Fit
87         | cv_35.docx | 60.14       | 25.00              | No Fit
88         | cv_26.docx | 60.07       | 82.80              | Good Fit
89         | cv_61.docx | 59.88       | 89.30              | Good Fit
90         | cv_16.docx | 59.60       | 21.00              | No Fit
91         | cv_72.docx | 59.59       | 28.10              | No Fit
92         | cv_46.docx | 59.36       | 57.10              | Potential Fit
93         | cv_56.docx | 59.18       | 23.70              | No Fit
94         | cv_54.docx | 59.00       | 82.30              | Good Fit
95         | cv_60.docx | 58.83       | 86.50              | Good Fit
96         | cv_73.docx | 57.62       | 29.50              | No Fit
97         | cv_59.docx | 56.18       | 24.90              | No Fit
98         | cv_96.docx | 54.46       | 84.40              | Good Fit

==========================================================================================
COMPLETE SORTED CANDIDATE RANKINGS (1 to 98): Hybrid M1
==========================================================================================
Model Rank | Filename   | Model Score | Ground Truth Score | Ground Truth Label
----------------------------------------------------------------------------------------
1          | cv_4.docx  | 97.71       | 26.90              | No Fit
2          | cv_67.docx | 81.96       | 28.50              | No Fit
3          | cv_47.docx | 81.52       | 26.90              | No Fit
4          | cv_15.docx | 81.45       | 24.00              | No Fit
5          | cv_38.docx | 74.95       | 28.40              | No Fit
6          | cv_98.docx | 74.72       | 25.60              | No Fit
7          | cv_51.docx | 65.95       | 27.90              | No Fit
8          | cv_84.docx | 65.88       | 53.40              | Potential Fit
9          | cv_94.docx | 65.87       | 24.80              | No Fit
10         | cv_62.docx | 65.83       | 21.30              | No Fit
11         | cv_90.docx | 65.82       | 27.60              | No Fit
12         | cv_49.docx | 65.80       | 24.10              | No Fit
13         | cv_32.docx | 65.79       | 24.10              | No Fit
14         | cv_13.docx | 65.77       | 82.50              | Good Fit
15         | cv_27.docx | 65.76       | 21.90              | No Fit
16         | cv_79.docx | 65.76       | 85.30              | Good Fit
17         | cv_24.docx | 65.64       | 82.00              | Good Fit
18         | cv_97.docx | 65.64       | 88.90              | Good Fit
19         | cv_36.docx | 65.58       | 23.00              | No Fit
20         | cv_50.docx | 65.51       | 24.70              | No Fit
21         | cv_75.docx | 65.43       | 28.40              | No Fit
22         | cv_6.docx  | 65.42       | 86.70              | Good Fit
23         | cv_44.docx | 65.40       | 22.30              | No Fit
24         | cv_57.docx | 65.35       | 20.80              | No Fit
25         | cv_88.docx | 65.34       | 20.50              | No Fit
26         | cv_8.docx  | 65.32       | 29.10              | No Fit
27         | cv_53.docx | 65.29       | 25.60              | No Fit
28         | cv_40.docx | 65.25       | 28.70              | No Fit
29         | cv_34.docx | 65.24       | 28.70              | No Fit
30         | cv_39.docx | 65.24       | 54.80              | Potential Fit
31         | cv_85.docx | 65.16       | 82.10              | Good Fit
32         | cv_82.docx | 65.14       | 82.30              | Good Fit
33         | cv_69.docx | 65.13       | 83.20              | Good Fit
34         | cv_10.docx | 65.10       | 25.40              | No Fit
35         | cv_9.docx  | 65.07       | 85.80              | Good Fit
36         | cv_18.docx | 65.04       | 88.40              | Good Fit
37         | cv_58.docx | 65.01       | 27.10              | No Fit
38         | cv_68.docx | 65.00       | 28.00              | No Fit
39         | cv_14.docx | 64.92       | 55.60              | Potential Fit
40         | cv_65.docx | 64.91       | 83.70              | Good Fit
41         | cv_52.docx | 64.81       | 84.30              | Good Fit
42         | cv_21.docx | 64.79       | 20.90              | No Fit
43         | cv_87.docx | 64.79       | 89.80              | Good Fit
44         | cv_33.docx | 64.76       | 29.30              | No Fit
45         | cv_95.docx | 64.75       | 21.20              | No Fit
46         | cv_45.docx | 64.75       | 57.20              | Potential Fit
47         | cv_2.docx  | 64.72       | 25.40              | No Fit
48         | cv_20.docx | 64.64       | 56.10              | Potential Fit
49         | cv_48.docx | 64.54       | 26.80              | No Fit
50         | cv_74.docx | 64.54       | 21.40              | No Fit
51         | cv_12.docx | 64.51       | 25.40              | No Fit
52         | cv_78.docx | 64.51       | 22.10              | No Fit
53         | cv_80.docx | 64.50       | 25.60              | No Fit
54         | cv_25.docx | 64.47       | 87.40              | Good Fit
55         | cv_91.docx | 64.38       | 53.40              | Potential Fit
56         | cv_83.docx | 64.38       | 59.10              | Potential Fit
57         | cv_71.docx | 64.34       | 52.70              | Potential Fit
58         | cv_30.docx | 64.27       | 83.00              | Good Fit
59         | cv_31.docx | 64.25       | 20.60              | No Fit
60         | cv_23.docx | 64.03       | 26.90              | No Fit
61         | cv_41.docx | 63.98       | 20.40              | No Fit
62         | cv_29.docx | 63.97       | 53.20              | Potential Fit
63         | cv_64.docx | 63.82       | 29.60              | No Fit
64         | cv_61.docx | 63.81       | 89.30              | Good Fit
65         | cv_35.docx | 63.81       | 25.00              | No Fit
66         | cv_81.docx | 63.78       | 21.50              | No Fit
67         | cv_55.docx | 63.70       | 21.60              | No Fit
68         | cv_37.docx | 63.69       | 26.80              | No Fit
69         | cv_43.docx | 63.69       | 29.20              | No Fit
70         | cv_77.docx | 63.67       | 22.30              | No Fit
71         | cv_60.docx | 63.56       | 86.50              | Good Fit
72         | cv_92.docx | 63.53       | 21.60              | No Fit
73         | cv_3.docx  | 63.52       | 23.50              | No Fit
74         | cv_63.docx | 63.44       | 22.10              | No Fit
75         | cv_42.docx | 63.44       | 28.00              | No Fit
76         | cv_76.docx | 63.02       | 28.30              | No Fit
77         | cv_54.docx | 62.95       | 82.30              | Good Fit
78         | cv_26.docx | 62.84       | 82.80              | Good Fit
79         | cv_5.docx  | 62.80       | 88.60              | Good Fit
80         | cv_17.docx | 62.69       | 22.00              | No Fit
81         | cv_1.docx  | 62.55       | 26.90              | No Fit
82         | cv_28.docx | 62.38       | 85.00              | Good Fit
83         | cv_46.docx | 62.33       | 57.10              | Potential Fit
84         | cv_86.docx | 62.21       | 20.90              | No Fit
85         | cv_7.docx  | 61.83       | 22.20              | No Fit
86         | cv_11.docx | 61.75       | 26.90              | No Fit
87         | cv_19.docx | 61.68       | 28.60              | No Fit
88         | cv_89.docx | 61.56       | 20.50              | No Fit
89         | cv_93.docx | 61.48       | 29.90              | No Fit
90         | cv_70.docx | 61.01       | 81.40              | Good Fit
91         | cv_66.docx | 60.91       | 80.70              | Good Fit
92         | cv_22.docx | 60.60       | 29.80              | No Fit
93         | cv_16.docx | 59.25       | 21.00              | No Fit
94         | cv_72.docx | 59.16       | 28.10              | No Fit
95         | cv_56.docx | 58.69       | 23.70              | No Fit
96         | cv_73.docx | 58.26       | 29.50              | No Fit
97         | cv_96.docx | 53.97       | 84.40              | Good Fit
98         | cv_59.docx | 53.05       | 24.90              | No Fit

==========================================================================================
COMPLETE SORTED CANDIDATE RANKINGS (1 to 98): LLM Rubric (Gemma 3)
==========================================================================================
Model Rank | Filename   | Model Score | Ground Truth Score | Ground Truth Label
----------------------------------------------------------------------------------------
1          | cv_91.docx | 93.00       | 53.40              | Potential Fit
2          | cv_70.docx | 86.00       | 81.40              | Good Fit
3          | cv_20.docx | 85.00       | 56.10              | Potential Fit
4          | cv_31.docx | 85.00       | 20.60              | No Fit
5          | cv_52.docx | 85.00       | 84.30              | Good Fit
6          | cv_66.docx | 85.00       | 80.70              | Good Fit
7          | cv_71.docx | 85.00       | 52.70              | Potential Fit
8          | cv_77.docx | 85.00       | 22.30              | No Fit
9          | cv_83.docx | 85.00       | 59.10              | Potential Fit
10         | cv_5.docx  | 82.00       | 88.60              | Good Fit
11         | cv_9.docx  | 82.00       | 85.80              | Good Fit
12         | cv_84.docx | 78.00       | 53.40              | Potential Fit
13         | cv_61.docx | 78.00       | 89.30              | Good Fit
14         | cv_94.docx | 78.00       | 24.80              | No Fit
15         | cv_15.docx | 78.00       | 24.00              | No Fit
16         | cv_16.docx | 78.00       | 21.00              | No Fit
17         | cv_85.docx | 78.00       | 82.10              | Good Fit
18         | cv_29.docx | 78.00       | 53.20              | Potential Fit
19         | cv_46.docx | 78.00       | 57.10              | Potential Fit
20         | cv_47.docx | 78.00       | 26.90              | No Fit
21         | cv_55.docx | 78.00       | 21.60              | No Fit
22         | cv_60.docx | 68.00       | 86.50              | Good Fit
23         | cv_8.docx  | 68.00       | 29.10              | No Fit
24         | cv_13.docx | 68.00       | 82.50              | Good Fit
25         | cv_23.docx | 68.00       | 26.90              | No Fit
26         | cv_26.docx | 68.00       | 82.80              | Good Fit
27         | cv_32.docx | 68.00       | 24.10              | No Fit
28         | cv_30.docx | 68.00       | 83.00              | Good Fit
29         | cv_34.docx | 68.00       | 28.70              | No Fit
30         | cv_40.docx | 68.00       | 28.70              | No Fit
31         | cv_41.docx | 68.00       | 20.40              | No Fit
32         | cv_48.docx | 68.00       | 26.80              | No Fit
33         | cv_65.docx | 68.00       | 83.70              | Good Fit
34         | cv_69.docx | 68.00       | 83.20              | Good Fit
35         | cv_79.docx | 68.00       | 85.30              | Good Fit
36         | cv_74.docx | 68.00       | 21.40              | No Fit
37         | cv_75.docx | 68.00       | 28.40              | No Fit
38         | cv_96.docx | 68.00       | 84.40              | Good Fit
39         | cv_97.docx | 68.00       | 88.90              | Good Fit
40         | cv_2.docx  | 62.00       | 25.40              | No Fit
41         | cv_6.docx  | 62.00       | 86.70              | Good Fit
42         | cv_50.docx | 62.00       | 24.70              | No Fit
43         | cv_86.docx | 62.00       | 20.90              | No Fit
44         | cv_67.docx | 58.00       | 28.50              | No Fit
45         | cv_72.docx | 58.00       | 28.10              | No Fit
46         | cv_95.docx | 48.00       | 21.20              | No Fit
47         | cv_11.docx | 48.00       | 26.90              | No Fit
48         | cv_17.docx | 48.00       | 22.00              | No Fit
49         | cv_24.docx | 48.00       | 82.00              | Good Fit
50         | cv_28.docx | 48.00       | 85.00              | Good Fit
51         | cv_36.docx | 48.00       | 23.00              | No Fit
52         | cv_38.docx | 48.00       | 28.40              | No Fit
53         | cv_39.docx | 48.00       | 54.80              | Potential Fit
54         | cv_43.docx | 48.00       | 29.20              | No Fit
55         | cv_53.docx | 48.00       | 25.60              | No Fit
56         | cv_56.docx | 48.00       | 23.70              | No Fit
57         | cv_58.docx | 48.00       | 27.10              | No Fit
58         | cv_59.docx | 48.00       | 24.90              | No Fit
59         | cv_76.docx | 48.00       | 28.30              | No Fit
60         | cv_80.docx | 48.00       | 25.60              | No Fit
61         | cv_92.docx | 45.00       | 21.60              | No Fit
62         | cv_18.docx | 45.00       | 88.40              | Good Fit
63         | cv_98.docx | 45.00       | 25.60              | No Fit
64         | cv_35.docx | 42.00       | 25.00              | No Fit
65         | cv_54.docx | 42.00       | 82.30              | Good Fit
66         | cv_62.docx | 38.00       | 21.30              | No Fit
67         | cv_1.docx  | 38.00       | 26.90              | No Fit
68         | cv_33.docx | 38.00       | 29.30              | No Fit
69         | cv_44.docx | 38.00       | 22.30              | No Fit
70         | cv_87.docx | 38.00       | 89.80              | Good Fit
71         | cv_93.docx | 35.00       | 29.90              | No Fit
72         | cv_12.docx | 35.00       | 25.40              | No Fit
73         | cv_22.docx | 35.00       | 29.80              | No Fit
74         | cv_27.docx | 35.00       | 21.90              | No Fit
75         | cv_42.docx | 35.00       | 28.00              | No Fit
76         | cv_45.docx | 35.00       | 57.20              | Potential Fit
77         | cv_78.docx | 35.00       | 22.10              | No Fit
78         | cv_81.docx | 35.00       | 21.50              | No Fit
79         | cv_73.docx | 28.00       | 29.50              | No Fit
80         | cv_7.docx  | 25.00       | 22.20              | No Fit
81         | cv_14.docx | 25.00       | 55.60              | Potential Fit
82         | cv_19.docx | 25.00       | 28.60              | No Fit
83         | cv_25.docx | 25.00       | 87.40              | Good Fit
84         | cv_64.docx | 25.00       | 29.60              | No Fit
85         | cv_37.docx | 25.00       | 26.80              | No Fit
86         | cv_51.docx | 25.00       | 27.90              | No Fit
87         | cv_57.docx | 25.00       | 20.80              | No Fit
88         | cv_68.docx | 25.00       | 28.00              | No Fit
89         | cv_82.docx | 25.00       | 82.30              | Good Fit
90         | cv_88.docx | 25.00       | 20.50              | No Fit
91         | cv_89.docx | 25.00       | 20.50              | No Fit
92         | cv_4.docx  | 17.00       | 26.90              | No Fit
93         | cv_90.docx | 17.00       | 27.60              | No Fit
94         | cv_3.docx  | 15.00       | 23.50              | No Fit
95         | cv_10.docx | 15.00       | 25.40              | No Fit
96         | cv_21.docx | 15.00       | 20.90              | No Fit
97         | cv_49.docx | 15.00       | 24.10              | No Fit
98         | cv_63.docx | 5.00        | 22.10              | No Fit

==========================================================================================
COMPLETE SORTED CANDIDATE RANKINGS (1 to 98): NBK ATS Semantic
==========================================================================================
Model Rank | Filename   | Model Score | Ground Truth Score | Ground Truth Label
----------------------------------------------------------------------------------------
1          | cv_25.docx | 72.11       | 87.40              | Good Fit
2          | cv_9.docx  | 71.47       | 85.80              | Good Fit
3          | cv_61.docx | 70.40       | 89.30              | Good Fit
4          | cv_18.docx | 70.27       | 88.40              | Good Fit
5          | cv_44.docx | 69.99       | 22.30              | No Fit
6          | cv_74.docx | 68.78       | 21.40              | No Fit
7          | cv_30.docx | 68.72       | 83.00              | Good Fit
8          | cv_69.docx | 68.34       | 83.20              | Good Fit
9          | cv_90.docx | 67.75       | 27.60              | No Fit
10         | cv_79.docx | 67.49       | 85.30              | Good Fit
11         | cv_97.docx | 67.22       | 88.90              | Good Fit
12         | cv_84.docx | 66.19       | 53.40              | Potential Fit
13         | cv_52.docx | 66.09       | 84.30              | Good Fit
14         | cv_66.docx | 65.97       | 80.70              | Good Fit
15         | cv_80.docx | 65.92       | 25.60              | No Fit
16         | cv_31.docx | 65.84       | 20.60              | No Fit
17         | cv_94.docx | 65.34       | 24.80              | No Fit
18         | cv_34.docx | 64.92       | 28.70              | No Fit
19         | cv_15.docx | 64.82       | 24.00              | No Fit
20         | cv_16.docx | 64.79       | 21.00              | No Fit
21         | cv_77.docx | 64.38       | 22.30              | No Fit
22         | cv_20.docx | 64.35       | 56.10              | Potential Fit
23         | cv_5.docx  | 64.33       | 88.60              | Good Fit
24         | cv_87.docx | 63.90       | 89.80              | Good Fit
25         | cv_72.docx | 63.87       | 28.10              | No Fit
26         | cv_91.docx | 63.65       | 53.40              | Potential Fit
27         | cv_17.docx | 63.65       | 22.00              | No Fit
28         | cv_11.docx | 63.30       | 26.90              | No Fit
29         | cv_64.docx | 62.90       | 29.60              | No Fit
30         | cv_53.docx | 62.76       | 25.60              | No Fit
31         | cv_43.docx | 62.74       | 29.20              | No Fit
32         | cv_40.docx | 62.65       | 28.70              | No Fit
33         | cv_70.docx | 62.40       | 81.40              | Good Fit
34         | cv_83.docx | 62.38       | 59.10              | Potential Fit
35         | cv_6.docx  | 62.34       | 86.70              | Good Fit
36         | cv_57.docx | 61.74       | 20.80              | No Fit
37         | cv_49.docx | 61.72       | 24.10              | No Fit
38         | cv_48.docx | 61.49       | 26.80              | No Fit
39         | cv_1.docx  | 61.38       | 26.90              | No Fit
40         | cv_85.docx | 61.24       | 82.10              | Good Fit
41         | cv_71.docx | 61.22       | 52.70              | Potential Fit
42         | cv_23.docx | 61.18       | 26.90              | No Fit
43         | cv_54.docx | 60.80       | 82.30              | Good Fit
44         | cv_58.docx | 60.70       | 27.10              | No Fit
45         | cv_96.docx | 60.46       | 84.40              | Good Fit
46         | cv_7.docx  | 60.45       | 22.20              | No Fit
47         | cv_76.docx | 60.32       | 28.30              | No Fit
48         | cv_98.docx | 60.16       | 25.60              | No Fit
49         | cv_55.docx | 60.08       | 21.60              | No Fit
50         | cv_28.docx | 59.68       | 85.00              | Good Fit
51         | cv_32.docx | 59.66       | 24.10              | No Fit
52         | cv_26.docx | 59.13       | 82.80              | Good Fit
53         | cv_8.docx  | 58.80       | 29.10              | No Fit
54         | cv_46.docx | 58.66       | 57.10              | Potential Fit
55         | cv_39.docx | 58.60       | 54.80              | Potential Fit
56         | cv_60.docx | 58.57       | 86.50              | Good Fit
57         | cv_47.docx | 58.27       | 26.90              | No Fit
58         | cv_62.docx | 57.60       | 21.30              | No Fit
59         | cv_92.docx | 57.31       | 21.60              | No Fit
60         | cv_24.docx | 56.88       | 82.00              | Good Fit
61         | cv_36.docx | 56.34       | 23.00              | No Fit
62         | cv_81.docx | 56.07       | 21.50              | No Fit
63         | cv_88.docx | 56.06       | 20.50              | No Fit
64         | cv_65.docx | 56.05       | 83.70              | Good Fit
65         | cv_35.docx | 56.04       | 25.00              | No Fit
66         | cv_33.docx | 55.96       | 29.30              | No Fit
67         | cv_37.docx | 55.95       | 26.80              | No Fit
68         | cv_10.docx | 55.87       | 25.40              | No Fit
69         | cv_14.docx | 55.84       | 55.60              | Potential Fit
70         | cv_38.docx | 55.79       | 28.40              | No Fit
71         | cv_45.docx | 55.77       | 57.20              | Potential Fit
72         | cv_4.docx  | 55.75       | 26.90              | No Fit
73         | cv_59.docx | 55.69       | 24.90              | No Fit
74         | cv_29.docx | 55.02       | 53.20              | Potential Fit
75         | cv_89.docx | 54.70       | 20.50              | No Fit
76         | cv_13.docx | 54.58       | 82.50              | Good Fit
77         | cv_19.docx | 54.20       | 28.60              | No Fit
78         | cv_86.docx | 54.12       | 20.90              | No Fit
79         | cv_75.docx | 54.01       | 28.40              | No Fit
80         | cv_67.docx | 53.65       | 28.50              | No Fit
81         | cv_3.docx  | 53.19       | 23.50              | No Fit
82         | cv_27.docx | 52.53       | 21.90              | No Fit
83         | cv_68.docx | 52.45       | 28.00              | No Fit
84         | cv_56.docx | 52.31       | 23.70              | No Fit
85         | cv_51.docx | 52.13       | 27.90              | No Fit
86         | cv_82.docx | 51.95       | 82.30              | Good Fit
87         | cv_50.docx | 51.10       | 24.70              | No Fit
88         | cv_42.docx | 50.71       | 28.00              | No Fit
89         | cv_95.docx | 49.78       | 21.20              | No Fit
90         | cv_78.docx | 49.68       | 22.10              | No Fit
91         | cv_21.docx | 49.36       | 20.90              | No Fit
92         | cv_41.docx | 49.12       | 20.40              | No Fit
93         | cv_22.docx | 49.03       | 29.80              | No Fit
94         | cv_63.docx | 48.24       | 22.10              | No Fit
95         | cv_93.docx | 47.83       | 29.90              | No Fit
96         | cv_2.docx  | 47.43       | 25.40              | No Fit
97         | cv_73.docx | 47.12       | 29.50              | No Fit
98         | cv_12.docx | 41.67       | 25.40              | No Fit
